"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR3652",-3401.75,3898.68611111111,-7.86273665608902,0.000523145637333871,0.0372668461943313,-4.59125402698175
"KDM4A",-573.125,482.459722222222,-7.86104233673063,0.000523675670998568,0.0372668461943313,-4.5912541797455
"LOC400927-CSNK1E",2687.77777777778,4451.01666666667,7.85829663087385,0.000524535962212494,0.0372668461943313,-4.59125442749347
"HSP90AA1",-4770.91666666667,6344.14166666667,-7.85626340964936,0.0005251740958796,0.0372668461943313,-4.5912546111038
"ECHS1",1926.42222222222,2924.77777777778,7.82661918468793,0.000534583388732558,0.0376404722469599,-4.59125730275968
"CACNG3",1072.65833333333,1077.59027777778,7.81067750600662,0.000539725987941395,0.0377102396036284,-4.59125876164496
"HSPB11",-941.616666666667,937.922222222222,-7.77987170274022,0.000549830708235149,0.0381229948312966,-4.59126160365764
"PODXL",-57332.2777777778,53305.8444444444,-7.76397394231496,0.000555133049123141,0.0381990415544355,-4.59126308221074
"TYRO3",-12506.2944444445,9339.51388888889,-7.73370065990334,0.000565398574208407,0.0386128966130448,-4.5912659203911
"YWHAE",-1000.88888888889,983.355555555555,-7.69650992502646,0.000578319377146551,0.039200558974792,-4.59126944826219
"DNAJC4",904.686111111111,857.359722222222,7.60951166534711,0.00060993598963759,0.0410334797265244,-4.59127788225726
"FAM50B",-396.305555555556,346.066666666667,-7.58265589098684,0.000620106568025551,0.0410334797265244,-4.59128053830611
"RAMP2",5822.75,6522.79722222222,7.58001994901149,0.000621115614662098,0.0410334797265244,-4.59128080036131
"CHD3",-2706.08333333333,3872.45833333333,-7.57399159418181,0.000623430606876623,0.0410334797265244,-4.59128140059536
"GLOD4",-570.019444444445,796.895833333333,-7.56017339318687,0.000628775709614967,0.0410875523052715,-4.59128278129015
"PHYHIP",-5324.64444444445,7060,-7.5404719377864,0.000636490722656957,0.0412946088135225,-4.59128476155099
"PAK1",-1016.00555555556,609.691666666667,-7.4983340865328,0.000653371349026648,0.0420122830431729,-4.59128904375241
"CAPN3",2185.70555555556,1865.25277777778,7.48992487848402,0.000656803279987951,0.0420122830431729,-4.59128990604012
"PRKAR2B",-732.383333333334,685.936111111111,-7.46983906900051,0.000665087378281201,0.042016889690239,-4.59129197615607
"ACO1",678.777777777778,1495.29444444444,7.46733916122873,0.000666127063238404,0.042016889690239,-4.59129223484626
"SACM1L",-1202.41111111111,1337.23888888889,-7.45390780042211,0.00067174608189933,0.0420791011164939,-4.59129362868782
"SH2B1",-514.019444444445,966.084722222222,-7.41080234160106,0.000690162190157912,0.0427810793711279,-4.59129814754362
"HOXD1",-556.427777777778,312.983333333333,-7.40572064701016,0.000692372417434306,0.0427810793711279,-4.59129868489423
"LOC100996809",25260.4277777778,18948.0972222222,7.3815838628332,0.000702985566661994,0.0431433642026412,-4.59130125064122
"PHACTR1",415.322222222222,297.544444444444,7.3475929565697,0.00071826008388539,0.0437849418921544,-4.59130490198034
"FN1",-650.555555555556,981.361111111111,-7.33121496100069,0.000725759962540052,0.0439471849316753,-4.59130667741269
"UBE2D2",-663.580555555556,1127.60694444444,-7.30365538098073,0.000738590449712365,0.0442331680925345,-4.59130968887492
"BPHL",1460.46111111111,2063.51944444444,7.30019029168212,0.000740222564137977,0.0442331680925345,-4.59131006964677
"FERMT2",-3960.56666666667,5111.26666666667,-7.28211737404827,0.000748804716236406,0.0444535505723874,-4.59131206344562
"PAMR1",-622,432.988888888889,-7.24823791309297,0.000765212203622348,0.0447069509613932,-4.59131583660128
